num;contract;kod;period;date;post;executor;attorney;title;short;position;client;regulation
4;21.07.2023 № 69-У-056/23;ГП134;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2023 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 134 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 134 ДЗМ»;главного врача;Козловой Ирины Викторовны;Устава
4;21.07.2023 № 69-У-056/23;ГП170;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 170 ДЗМ»;главного врача;Полуниной Ирины Станиславовны;Устава
4;21.07.2023 № 69-У-056/23;ГП175;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 175 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 175 ДЗМ»;главного врача;Дорошевой Жанны Владимировны;Устава
4;21.07.2023 № 69-У-056/23;ГП191;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 191 ДЗМ»;главного врача;Соколовой Марии Валерьяновны;Устава
4;21.07.2023 № 69-У-056/23;ГП195;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 195 ДЗМ»;главного врача;Лазаревой Светланы Ильтезяревны;Устава
4;21.07.2023 № 69-У-056/23;ГП209;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 209 ДЗМ»;главного врача;Мацакяна Артака Мацаковича;Устава
4;21.07.2023 № 69-У-056/23;ГП210;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 210 ДЗМ»;главного врача;Алленова Андрея Михайловича;Устава
4;21.07.2023 № 69-У-056/23;ГП218;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 218 ДЗМ»;главного врача;Парсаданян Нателлы Эдуардовны;Устава
4;21.07.2023 № 69-У-056/23;ГП219;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 219 ДЗМ»;главного врача;Трасковецкой Ирины Геннадьевны;Устава
4;21.07.2023 № 69-У-056/23;ГП220;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 26.07.2023 № 09/23;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 220 ДЗМ»;главного врача;Тяжельникова Андрея Александровича;Устава
